name,addr,latitude,longitude,tel
(유)기흥인터내셔널 서초점,서울특별시 서초구 반포대로 235,37.50066865,127.0032572,02-3482-3476
(유)프리마모터스 크라이슬러 강서서비스센터,서울특별시 강서구 양천로49길 7(가양동),37.56909789,126.8406799,02-6925-0393
(유)프리마모터스 크라이슬러 영등포서비스센터,서울특별시 영등포구 양평로30길 30(양평동6가),37.54255654,126.888756,02-2659-9833
(주)가인상사,"서울특별시 강서구 공항대로63길 12, 1층(염창동)",37.55069659,126.8670457,02-2088-2121
(주)강서종합정비사업소,"서울특별시 강서구 공항대로59다길 273, 1,2층(염창동)",37.54825319,126.8770371,02-3661-0531
(주)강서종합정비사업소,서울특별시 강서구 공항대로81길 36(염창동),37.54879578,126.8767811,02-3661-8902
(주)강서현대정비센타,"서울특별시 강서구 화곡로66길 83, 3층(등촌동)",37.5568326,126.8577943,02-3662-1982
(주)건양자동차,서울특별시 송파구 오금로35길 46(오금동),37.50655417,127.1294169,02-402-5155
(주)경성자동차공업사,서울특별시 노원구 동일로251길 31(상계동),37.68437424,127.0536686,02-930-0835
(주)공항모터스,"서울특별시 강서구 하늘길 233, 디동(공항동)",37.55350543,126.8134274,02-2661-9990
(주)국도모터스,서울특별시 성동구 자동차시장3길 99,37.55838951,127.0678886,02-2215-2248
(주)금성자동차정비써비스,"서울특별시 중랑구 중랑천로 94, 9동(중화동)",37.59384472,127.0728628,02-437-1199
(주)금호타이어강서사,"서울특별시 강서구 공항대로45길 102, 1층(등촌동)",37.55891302,126.8580391,02-3661-9202
(주)금호타이어영등포대리점,서울특별시 영등포구 경인로112길 1(영등포동1가),37.51830684,126.9131817,02-2678-8345
(주)나래모터스,서울특별시 강남구 개포로 258(개포동),37.47907108,127.0507731,02-529-1052
(주)남영자동차검사소,서울특별시 강동구 고덕로 62(암사동),37.55446126,127.1318056,02-442-1054
(주)뉴카카,서울특별시 서초구 강남대로18길 24-12(양재동),37.47149411,127.0400466,031-278-3553
(주)뉴프라임모터스,서울특별시 성동구 아차산로13길 4(성수동2가),37.54353366,127.0607818,02-497-8255
(주)뉴프렌치모터스,서울특별시 성동구 왕십리로 86(성수동1가),37.54537153,127.0450846,02-463-7000
(주)대성자동차공업사,서울특별시 도봉구 도봉로150다길 42(방학동),37.66780876,127.0445534,02-3493-1982
(주)대원자동차공업사,서울특별시 중랑구 중랑역로 7(중화동),37.59461753,127.0763798,02-434-0553
(주)대한자동차서비스,서울특별시 강서구 강서로 327(내발산동),37.55503673,126.8368213,02-2664-7500
(주)대흥모터스,서울특별시 동대문구 고산자로 568(제기동),37.59010645,127.0366589,02-926-6615
(주)더블서비스,서울특별시 성동구 연무장11길 19(성수동2가),37.54365392,127.0574087,02-461-6796
(주)더위드모터스,서울특별시 금천구 가산로 50-7(독산동),37.4719889,126.8970681,02-582-1126
(주)더파크모터스,서울특별시 금천구 시흥대로 491(독산동),37.477426,126.8980148,02-598-7401
(주)더파크모터스,서울특별시 금천구 시흥대로 491(독산동),37.47746157,126.8980138,02-6420-1086
(주)더파크모터스 북부서비스,서울특별시 강북구 솔샘로 277-4(미아동),37.61888911,127.0236585,02-6370-1000
(주)덴트닥터,서울특별시 성동구 성수일로10길 14(성수동2가),37.54720113,127.0520298,02-462-5010
(주)도봉자동차,서울특별시 도봉구 도봉로 644-45(방학동),37.66226645,127.0433824,02-3492-5581
(주)동남모터스,서울특별시 성동구 고산자로 226(행당동),37.55992076,127.0346756,02-2293-0626
(주)동부모터스,서울특별시 송파구 송이로 149(가락동),37.49376311,127.1246616,02-2043-2266
(주)동부자동차써비스,"서울특별시 성동구 성수이로8길 5(성수동2가, B1,1F,4F)",37.53959458,127.0558556,02-463-7155
(주)동부현대자동차,서울특별시 강서구 양천로65길 41-31(염창동),37.55664557,126.8672547,02-3661-6088
(주)동우자동차공업사,"서울특별시 도봉구 방학로 45, 외 724-2(방학동)",37.66236963,127.0470968,02-954-2834
(주)디엠공업사,서울특별시 성동구 성수이로22길 31(성수동2가),37.54413403,127.0605413,02-2246-5557
(주)라온모터스,서울특별시 성동구 성수이로18길 14(성수동2가),37.54212843,127.0585334,02-461-9119
(주)럭키자동차서비스,서울특별시 금천구 두산로 14(독산동),37.47023907,126.8893137,02-806-8760
(주)레드캡투어,서울특별시 강서구 양천로47길 72(마곡동),37.57357735,126.8374322,02-3771-2479
(주)르노삼성자동차 서비스코너 서초점,"서울특별시 서초구 반포대로22길 4, 101동(서초동)",37.48852543,127.0096996,02-598-3002
(주)르노삼성자동차서비스잠실점,서울특별시 송파구 올림픽로 370(방이동),37.51668254,127.1112864,02-418-3066
(주)르노삼성자동차송파잠실정비사업소,서울특별시 송파구 백제고분로51길 29(방이동),37.51676931,127.1123285,02-420-3030
(주)르노삼성자동차지정정비센터대치정비,서울특별시 강남구 테헤란로64길 16-3(대치동),37.50369002,127.0510092,02-552-9131
(주)마이마부,"서울특별시 서초구 양재대로11길 36, 다동동 지하층 119호(양재동, 서울오토갤러리)",37.46183379,127.0353741,02-0000-0000
(주)목동현대자동차정비,서울특별시 양천구 신정중앙로 81(신정동),37.52691926,126.8607523,02-2693-1150
(주)문래카독크,서울특별시 영등포구 문래로 31(문래동6가),37.52092198,126.8855529,02-2679-1141
(주)미라클모터스,서울특별시 성동구 아차산로11길 7(성수동2가),37.54454781,127.0590422,02-466-4907
(주)미래자동차정비공업사,서울특별시 도봉구 방학로 25(방학동),37.66185774,127.0494244,02-998-3466
(주)바바리안모터스,서울특별시 구로구 안양천로537길 16(고척동),37.50440626,126.8691044,02-2649-7301
(주)바바리안모터스,"서울특별시 강서구 공항대로 59, 3층(공항동)",37.56136073,126.8139765,02-2661-7401
(주)바바리안모터스 인천서비스센터,서울특별시 양천구 목동동로 210(목동),37.52424937,126.8716953,031-994-7401
(주)베스트토요타,서울특별시 용산구 한강대로 92(한강로2가),37.52817593,126.9675227,02-2122-7701
(주)베컴모터스팩토리,서울특별시 성동구 성수이로16길 41(성수동2가),37.53997934,127.0612559,02-466-0046
(주)보배모터스,서울특별시 성동구 성수이로20길 36(성수동2가),37.54238252,127.0604826,02-468-8999
(주)삼선글로벌모터스,"서울특별시 강남구 도산대로 235, 지하1층(신사동)",37.52158794,127.0326425,02-3432-8700
(주)삼일일급자동차정비공업사,서울특별시 강서구 양천로47가길 22(가양동),37.57060825,126.839102,02-3664-3161
(주)삼한에스모터스,서울특별시 강남구 양재천로 175(도곡동),37.48201151,127.045264,02-578-7161
(주)새서울석유,서울특별시 강남구 압구정로 154(신사동),37.52582959,127.0265264,02-542-1140
(주)서서울공업사,"서울특별시 강서구 강서로 527, 일부호(가양동)",37.57250278,126.8420422,02-3665-6666
(주)서울자동차정비센타,"서울특별시 성동구 아차산로 64, 성수동2가",37.54585139,127.0511032,02-497-6329
(주)선진모터스,서울특별시 강동구 고덕로 82(암사동),37.5545392,127.1343554,02-3012-6400
(주)선진운수,서울특별시 은평구 서오릉로 207(구산동),37.6139351,126.9105239,02-355-5855
(주)성일상사,서울특별시 영등포구 대방천로 203(신길동),37.49881902,126.9135582,02-835-9889
(주)성진모터스,"서울특별시 송파구 중대로 241, 1,2층(오금동)",37.50314656,127.1287691,02-441-0404
(주)세운모터스,서울특별시 강서구 남부순환로 224-48(외발산동),37.54573844,126.8186064,02-2635-2722
(주)송파모터스,서울특별시 송파구 송파대로28길 16(가락동),37.4938509,127.1196675,02-449-8822
(주)수서광평자동차서비스,서울특별시 강남구 밤고개로5길 9(수서동),37.48662074,127.1035793,02-2226-0167
(주)숭미자동차,"서울특별시 도봉구 우이천로22길 24, 1~3층(창동)",37.6421953,127.0342365,02-991-8080
(주)스마트오토서비스,서울특별시 노원구 동일로173가길 59(공릉동),37.62089179,127.072725,02-971-9006
(주)스타일모터스,서울특별시 성동구 아차산로11가길 34(성수동2가),37.54508199,127.0637728,02-6053-8683
(주)스피젠,서울특별시 강남구 삼성로 538(삼성동),37.50990816,127.0553404,02-554-3774
(주)시온카독크,서울특별시 성동구 뚝섬로15길 23-19(성수동2가),37.53904747,127.0606637,02-466-3033
(주)신기카모터스,서울특별시 성동구 고산자로 330(마장동),37.56879484,127.0376581,02-479-3800
(주)신동성자동차,서울특별시 강서구 양천로 528(등촌동),37.55927023,126.8581629,02-3663-4567
(주)씨케이자동차,서울특별시 성동구 아차산로 73,37.5460589,127.0522977,02-463-4797
(주)아남모터스,서울특별시 성동구 광나루로6길 48(성수동2가),37.54580846,127.0642684,02-499-5504
(주)아마존모터스,"서울특별시 강서구 남부순환로 224-40, 1,2층(외발산동)",37.54557499,126.819076,02-2661-8283
(주)아승오토모티브그룹,서울특별시 강남구 도곡로 251(역삼동),37.49425017,127.0457476,02-544-8296
(주)아우토트러스,"서울특별시 서초구 강남대로8길 14, A동(양재동)",37.46757031,127.0423342,02-575-0350
(주)아우토플라츠,서울특별시 송파구 삼학사로 26(삼전동),37.49951221,127.0970583,02-6958-0800
(주)아이원모터스,서울특별시 성동구 성수이로22길 56(성수동2가),37.54296125,127.0628638,02-469-9141
(주)애니모터스,"서울특별시 성동구 아차산로13길 48, 25(성수동2가)",37.54665648,127.0627717,02-462-1177
(주)에스씨콥,서울특별시 성동구 성수이로22길 51(성수동2가),37.54356275,127.0627114,02-461-4572
(주)에스에스모터스 논현주유소 지점,서울특별시 강남구 논현로 747(논현동),37.51853332,127.0282444,02-511-0955
(주)에스에이치 서울모터스,서울특별시 서초구 서운로 45(서초동),37.48801528,127.0282066,02-737-5054
(주)에스원모터스,"서울특별시 성동구 뚝섬로15길 21, 뚝섬로15길 23",37.53878755,127.0609733,02-462-0334
(주)에스큐디에이 모터스,서울특별시 동대문구 천호대로 361(장안동),37.56270714,127.0592462,02-6077-9100
